s,n,M,M`
0.74,195,502.583292238082,36.5629675469248
0.75,187.5,497.499391439681,36.0760061237183
0.76,180,492.496531704126,35.6018384073207
0.77,172.5,487.573713116123,35.1399670138241
0.78,165,482.729884293991,34.6899199988466
0.79,157.5,477.963951009518,34.251249252447
0.8,150,473.274783875731,33.8235290139912
0.81,142.5,468.661225196531,33.4063544966464
0.82,135,464.122095062773,32.9993406121798
0.83,127.5,459.656196770896,32.6021207876354
0.84,120,455.262321632624,32.2143458662616
0.85,112.5,450.939253237398,31.8356830857749
0.86,105,446.68577122306,31.4658151276887
0.87,97.5,442.500654604737,31.1044392320083
0.88,90,438.382684706937,30.7512663721103
0.89,82.5,434.330647739335,30.4060204850887
0.9,75,430.343337052725,30.0684377532673
0.91,67.5,426.419555107965,29.7382659329547
0.92,60,422.558115187495,29.415263726859
0.93,52.5,418.757842876031,29.0992001968859
0.94,45,415.017577334444,28.7898542143209
0.95,37.5,411.336172388388,28.4870139446506
0.96,30,407.712497451159,28.1904763645024
0.97,22.5,404.145438298272,27.900046808393
0.98,15,400.633897709568,27.6155385431617
0.99,7.50000000000001,397.176795993029,27.3367723681355
1,0,393.773071403126,27.0635762392302
